"product_id","product_handle","product_title","variant_id","variant_title","option1","option2","option3","sku","price_egp","compare_at_price_egp","available","featured_image"
7804844867632,"nude-amber","Nude Amber",42610736037936,"100","100",,,,"1850.00",,true,
7804844867632,"nude-amber","Nude Amber",42610736005168,"50","50",,,,"1100.00",,true,
7804844867632,"nude-amber","Nude Amber",42610735972400,"30","30",,,,"750.00",,true,
8047986114608,"purevelle","Purevelle",43483879637040,"30 ml","30 ml",,,,"550.00",,true,
8047986114608,"purevelle","Purevelle",43483879669808,"50 ml","50 ml",,,,"800.00",,true,
8047986114608,"purevelle","Purevelle",43483879702576,"100 ml","100 ml",,,,"1250.00",,true,
7735874912304,"tobacco-honey","Tobacco Honey",42389309161520,"100 ml","100 ml",,,"SP-052","1250.00","0.00",true,
7735874912304,"tobacco-honey","Tobacco Honey",42389309194288,"50 ml","50 ml",,,"SP-052","800.00","0.00",true,
7735874912304,"tobacco-honey","Tobacco Honey",42389309227056,"30 ml","30 ml",,,"SP-052","550.00",,true,
7735874584624,"forbidden-cherry","Forbidden Cherry",42389308145712,"100 ml","100 ml",,,"SP-042","1100.00","0.00",true,
7735874584624,"forbidden-cherry","Forbidden Cherry",42389308244016,"50 ml","50 ml",,,"SP-042","750.00",,true,
7735874584624,"forbidden-cherry","Forbidden Cherry",42389308211248,"30 ml","30 ml",,,"SP-042","500.00",,true,
7976568782896,"silvere","Silvere",43057660624944,"30 ml","30 ml",,,,"600.00",,false,
7976568782896,"silvere","Silvere",43057660657712,"50 ml","50 ml",,,,"900.00",,true,
7976568782896,"silvere","Silvere",43057660690480,"100 ml","100 ml",,,,"1600.00",,false,
8032720257072,"sundaze","Sundaze",43433688563760,"30 ml","30 ml",,,,"500.00",,true,
8032720257072,"sundaze","Sundaze",43433688596528,"50 ml","50 ml",,,,"700.00",,true,
8032720257072,"sundaze","Sundaze",43433688629296,"100 ml","100 ml",,,,"1100.00",,true,
7973168840752,"vanilla-91","Vanilla 91",43042776776752,"125ML","125ML",,,"BS-1","380.00","0.00",true,
7735876517936,"siwa-trail","Siwa Trail",42389313290288,"100 ml","100 ml",,,"SF-080","1750.00","0.00",false,
7735876517936,"siwa-trail","Siwa Trail",42389313323056,"50 ml","50 ml",,,"SF-080","950.00","0.00",false,
7735876517936,"siwa-trail","Siwa Trail",42389313355824,"30 ml","30 ml",,,"SF-080","600.00","0.00",false,
7954863554608,"pink-arrogance","Pink Arrogance",42973010526256,"30 ml","30 ml",,,,"450.00",,true,
